,input_reads,unmapped_reads,unique_mapped,segment_count,RNA5SN1,RNA18SN1,RNA5.8SN1,RNA28SN1
Ctrl_Mock_1,165415922,,137334200,128370936,1977,47313469,12637,81042853
Ctrl_Mock_2,119263250,,92862199,87011235,110,31161794,6050,55843281
Ctrl_Mock_3,143314806,,114023076,106574245,616,38229218,10459,68333952
Ctrl_cx_13,164858544,,131025659,122959166,1282,43208270,11340,79738274
Ctrl_cx_15,117562472,,91487290,85625263,215,31128314,7701,54489033
Ctrl_cx_16,140185680,,113816602,107282645,4413,38602172,10967,68665093
Ctrl_iso_9,152781300,,122657182,113937666,222,41542386,11325,72383733
Ctrl_iso_10,110518408,,88244347,82161021,107,30288359,7290,51865265
Ctrl_iso_12,120642798,,98801463,92175275,223,34509871,8929,57656252
siZC3H8_1_18,123501418,,93238560,87200110,104,32643619,6861,54549526
siZC3H8_1_19,112801112,,86364382,80680112,56,30822993,6421,49850642
siZC3H8_1_21,138644448,,108060993,101002512,229,38952397,8482,62041404
siZC3H8_3_25,106813206,,82750986,77087135,286,28458236,8453,48620160
siZC3H8_3_26,114771914,,87041144,81608991,146,31118167,5936,50484742
siZC3H8_3_27,126542566,,98733606,91969645,458,34899027,11371,57058789
siZC3H8_4_30,119743236,,92429909,86789988,124,31042042,6062,55741760
siZC3H8_4_31,141296180,,111320400,104805470,152,38134503,7027,66663788
siZC3H8_4_32,116299298,,89694913,84016195,184,30781671,6639,53227701
