,input_reads,unmapped_reads,unique_mapped,segment_count,RNA5SN1,RNA18SN1,RNA5.8SN1,RNA28SN1
Ctrl_Mock_1,1.654e+08,,8.302e-01,9.347e-01,1.440e-05,3.445e-01,9.202e-05,5.901e-01
Ctrl_Mock_2,1.193e+08,,7.786e-01,9.370e-01,1.185e-06,3.356e-01,6.515e-05,6.014e-01
Ctrl_Mock_3,1.433e+08,,7.956e-01,9.347e-01,5.402e-06,3.353e-01,9.173e-05,5.993e-01
Ctrl_cx_13,1.649e+08,,7.948e-01,9.384e-01,9.784e-06,3.298e-01,8.655e-05,6.086e-01
Ctrl_cx_15,1.176e+08,,7.782e-01,9.359e-01,2.350e-06,3.402e-01,8.418e-05,5.956e-01
Ctrl_cx_16,1.402e+08,,8.119e-01,9.426e-01,3.877e-05,3.392e-01,9.636e-05,6.033e-01
Ctrl_iso_9,1.528e+08,,8.028e-01,9.289e-01,1.810e-06,3.387e-01,9.233e-05,5.901e-01
Ctrl_iso_10,1.105e+08,,7.985e-01,9.311e-01,1.213e-06,3.432e-01,8.261e-05,5.877e-01
Ctrl_iso_12,1.206e+08,,8.190e-01,9.329e-01,2.257e-06,3.493e-01,9.037e-05,5.836e-01
siZC3H8_1_18,1.235e+08,,7.550e-01,9.352e-01,1.115e-06,3.501e-01,7.359e-05,5.851e-01
siZC3H8_1_19,1.128e+08,,7.656e-01,9.342e-01,6.484e-07,3.569e-01,7.435e-05,5.772e-01
siZC3H8_1_21,1.386e+08,,7.794e-01,9.347e-01,2.119e-06,3.605e-01,7.849e-05,5.741e-01
siZC3H8_3_25,1.068e+08,,7.747e-01,9.316e-01,3.456e-06,3.439e-01,1.021e-04,5.875e-01
siZC3H8_3_26,1.148e+08,,7.584e-01,9.376e-01,1.677e-06,3.575e-01,6.820e-05,5.800e-01
siZC3H8_3_27,1.265e+08,,7.802e-01,9.315e-01,4.639e-06,3.535e-01,1.152e-04,5.779e-01
siZC3H8_4_30,1.197e+08,,7.719e-01,9.390e-01,1.342e-06,3.358e-01,6.558e-05,6.031e-01
siZC3H8_4_31,1.413e+08,,7.879e-01,9.415e-01,1.365e-06,3.426e-01,6.312e-05,5.988e-01
siZC3H8_4_32,1.163e+08,,7.712e-01,9.367e-01,2.051e-06,3.432e-01,7.402e-05,5.934e-01
