,input_reads,unmapped_reads,unique_mapped,segment_count,RNA5SN1,RNA18SN1,RNA5.8SN1,RNA28SN1
Ctrl_Mock_1,82707961,13799295,65590995,64161790,995,23598715,92307,40469773
Ctrl_Mock_2,59631625,13034100,44338866,43388503,66,15489300,49219,27849918
Ctrl_Mock_3,71657403,14445646,54333546,53041030,318,18937028,65321,34038363
Ctrl_cx_13,82429272,16686091,62186932,61143219,644,21353082,42837,39746656
Ctrl_cx_15,58781236,12873568,43344669,42534847,112,15363988,32284,27138463
Ctrl_cx_16,70092840,12985166,54350203,53235144,2214,18967886,32739,34232305
Ctrl_iso_9,76390650,14842656,58383321,56953877,138,20663775,102012,36187952
Ctrl_iso_10,55259204,10980254,42050674,41013202,66,15059522,66264,25887350
Ctrl_iso_12,60321399,10740950,47138748,45868482,124,17053182,64862,28750314
siZC3H8_1_18,61750709,14960398,44544871,43475385,58,16189416,59446,27226465
siZC3H8_1_19,56400556,13071737,41115686,40281227,37,15346673,51036,24883481
siZC3H8_1_21,69322224,15107439,51411653,50340680,121,19348227,60440,30931892
siZC3H8_3_25,53406603,11885072,39330974,38369029,156,14101387,54830,24212656
siZC3H8_3_26,57385957,13719028,41566299,40764021,83,15507908,51257,25204773
siZC3H8_3_27,63271283,13736516,46980617,45787572,235,17240323,50538,28496476
siZC3H8_4_30,59871618,13493525,44156969,43286920,65,15433542,50329,27802984
siZC3H8_4_31,70648090,14803366,53243018,52288594,82,18950528,46670,33291314
siZC3H8_4_32,58149649,13148283,42759252,41932053,96,15293203,46570,26592184
