,input_reads,unmapped_reads,unique_mapped,segment_count,RNA5SN1,RNA18SN1,RNA5.8SN1,RNA28SN1
Ctrl_Mock_1,8.271e+07,1.668e-01,7.930e-01,9.782e-01,1.517e-05,3.598e-01,1.407e-03,6.170e-01
Ctrl_Mock_2,5.963e+07,2.186e-01,7.435e-01,9.786e-01,1.489e-06,3.493e-01,1.110e-03,6.281e-01
Ctrl_Mock_3,7.166e+07,2.016e-01,7.582e-01,9.762e-01,5.853e-06,3.485e-01,1.202e-03,6.265e-01
Ctrl_cx_13,8.243e+07,2.024e-01,7.544e-01,9.832e-01,1.036e-05,3.434e-01,6.888e-04,6.391e-01
Ctrl_cx_15,5.878e+07,2.190e-01,7.374e-01,9.813e-01,2.584e-06,3.545e-01,7.448e-04,6.261e-01
Ctrl_cx_16,7.009e+07,1.853e-01,7.754e-01,9.795e-01,4.074e-05,3.490e-01,6.024e-04,6.298e-01
Ctrl_iso_9,7.639e+07,1.943e-01,7.643e-01,9.755e-01,2.364e-06,3.539e-01,1.747e-03,6.198e-01
Ctrl_iso_10,5.526e+07,1.987e-01,7.610e-01,9.753e-01,1.570e-06,3.581e-01,1.576e-03,6.156e-01
Ctrl_iso_12,6.032e+07,1.781e-01,7.815e-01,9.731e-01,2.631e-06,3.618e-01,1.376e-03,6.099e-01
siZC3H8_1_18,6.175e+07,2.423e-01,7.214e-01,9.760e-01,1.302e-06,3.634e-01,1.335e-03,6.112e-01
siZC3H8_1_19,5.640e+07,2.318e-01,7.290e-01,9.797e-01,8.999e-07,3.733e-01,1.241e-03,6.052e-01
siZC3H8_1_21,6.932e+07,2.179e-01,7.416e-01,9.792e-01,2.354e-06,3.763e-01,1.176e-03,6.017e-01
siZC3H8_3_25,5.341e+07,2.225e-01,7.364e-01,9.755e-01,3.966e-06,3.585e-01,1.394e-03,6.156e-01
siZC3H8_3_26,5.739e+07,2.391e-01,7.243e-01,9.807e-01,1.997e-06,3.731e-01,1.233e-03,6.064e-01
siZC3H8_3_27,6.327e+07,2.171e-01,7.425e-01,9.746e-01,5.002e-06,3.670e-01,1.076e-03,6.066e-01
siZC3H8_4_30,5.987e+07,2.254e-01,7.375e-01,9.803e-01,1.472e-06,3.495e-01,1.140e-03,6.296e-01
siZC3H8_4_31,7.065e+07,2.095e-01,7.536e-01,9.821e-01,1.540e-06,3.559e-01,8.765e-04,6.253e-01
siZC3H8_4_32,5.815e+07,2.261e-01,7.353e-01,9.807e-01,2.245e-06,3.577e-01,1.089e-03,6.219e-01
